Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-50.0,0.0
6.0,-50.0,0.0
7.0,-50.0,0.0
8.0,-50.0,0.025
9.0,-49.5677317955,0.05
10.0,-49.58989124692093,0.07500000000000001
11.0,-50.0,0.15000000000000002
12.0,-49.40779515709999,0.2
13.0,-43.55637426761451,0.15
14.0,-11.458199457855134,0.25
15.0,-14.143337182108315,0.4
16.0,-48.70149028135599,0.4
17.0,-47.18908328754114,0.575
18.0,-47.16124307595475,0.8
19.0,-11.554945543131469,0.625
20.0,-47.09034709747383,0.75
21.0,-8.544308837766089,0.8250000000000001
22.0,-8.24724760072275,0.975
23.0,-6.098355773472213,0.875
24.0,-9.077166521790307,0.875
25.0,-10.273945202365889,0.95
26.0,-11.789781402674723,0.9
27.0,-12.779275377011137,1.0
28.0,-14.863342336401764,0.9
29.0,-9.41383676820306,0.95
30.0,-8.415225688486824,1.0
31.0,-9.392496958509339,0.975
32.0,-9.989982562260707,1.0
33.0,-9.123750016217233,1.0
34.0,-8.001191726536328,1.0
35.0,-11.733089634392812,0.975
36.0,-8.940486404932878,1.0
37.0,-9.931657934758015,0.95
38.0,-8.265101513519319,1.0
39.0,-13.739240230800858,0.975
40.0,-7.162509507731226,1.0
41.0,-12.604546504465471,1.0
42.0,-9.001703435394505,1.0
43.0,-8.93943621021839,0.975
44.0,-7.158818016345732,1.0
45.0,-6.142901304254693,1.0
46.0,-8.114581394745743,0.95
47.0,-10.750349888799573,0.975
48.0,-8.970662015626303,1.0
49.0,-13.450658965930694,1.0
50.0,-8.950177758204449,0.975
51.0,-7.12753370169401,1.0
52.0,-5.265575334262327,1.0
53.0,-10.885292348269749,0.975
54.0,-8.209512657298816,0.975
55.0,-6.125276128339288,1.0
56.0,-7.143277613240865,1.0
57.0,-11.694261020131574,1.0
58.0,-8.154125382158941,0.975
59.0,-7.350500865819395,0.975
60.0,-9.954869891922431,1.0
61.0,-9.90477886043936,1.0
62.0,-12.603802286606564,1.0
63.0,-9.873453436625839,1.0
64.0,-7.116865834193467,1.0
65.0,-6.464244648756145,0.975
66.0,-8.97767024251681,1.0
67.0,-12.606034445659482,1.0
68.0,-12.589017718174416,1.0
69.0,-9.074373877200546,1.0
70.0,-9.016185599413415,1.0
71.0,-9.89690997970607,1.0
72.0,-9.073873206059409,1.0
73.0,-14.58323437204755,1.0
74.0,-5.469030617297662,1.0
75.0,-5.297994416982376,1.0
76.0,-8.576806782978103,0.975
77.0,-5.444579012375814,1.0
78.0,-5.280532083775535,1.0
79.0,-13.045016195988184,0.975
80.0,-9.921985766432368,1.0
81.0,-9.904806139572662,1.0
82.0,-8.134813257980488,1.0
83.0,-9.99251735539566,1.0
84.0,-8.125510159670508,1.0
85.0,-9.066104540767938,1.0
86.0,-8.960319115645897,1.0
87.0,-8.90467797914535,1.0
88.0,-8.095057005825307,1.0
89.0,-6.387157748718768,1.0
90.0,-11.799079425620116,1.0
91.0,-7.269045648741549,1.0
92.0,-8.91312207114586,1.0
93.0,-10.787151944274814,1.0
94.0,-6.19292765788194,0.975
95.0,-9.059607596936328,1.0
96.0,-8.97040579287808,1.0
97.0,-9.855542828325989,1.0
98.0,-7.165217062030836,1.0
99.0,-5.287232373430195,1.0
