Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:108.888| Actor_Loss:0.733| Critic_Loss:0.001| Success rate:0.000| 9.3/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:107.540| Actor_Loss:1.073| Critic_Loss:0.009| Success rate:0.000| 9.1/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:106.838| Actor_Loss:1.210| Critic_Loss:0.012| Success rate:0.000| 8.6/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:109.830| Actor_Loss:1.447| Critic_Loss:0.015| Success rate:0.000| 8.8/12.0 GB RAM 

Epoch:4| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1600| Duration:109.791| Actor_Loss:1.787| Critic_Loss:0.014| Success rate:0.000| 8.9/12.0 GB RAM 

Epoch:5| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1920| Duration:108.731| Actor_Loss:1.905| Critic_Loss:0.026| Success rate:0.000| 8.8/12.0 GB RAM 

Epoch:6| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2240| Duration:110.396| Actor_Loss:1.948| Critic_Loss:0.028| Success rate:0.000| 8.9/12.0 GB RAM 

Epoch:7| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2560| Duration:111.769| Actor_Loss:2.583| Critic_Loss:0.025| Success rate:0.000| 8.9/12.0 GB RAM 

Epoch:8| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2880| Duration:110.886| Actor_Loss:2.288| Critic_Loss:0.064| Success rate:0.025| 9.0/12.0 GB RAM 

Epoch:9| Running_reward:-49.568| EP_reward:-50.000| Memory_length:3200| Duration:111.122| Actor_Loss:2.306| Critic_Loss:0.038| Success rate:0.050| 9.0/12.0 GB RAM 

Epoch:10| Running_reward:-49.590| EP_reward:-50.000| Memory_length:3520| Duration:115.702| Actor_Loss:2.405| Critic_Loss:0.048| Success rate:0.075| 8.9/12.0 GB RAM 

Epoch:11| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3840| Duration:113.731| Actor_Loss:2.414| Critic_Loss:0.032| Success rate:0.150| 9.0/12.0 GB RAM 

Epoch:12| Running_reward:-49.408| EP_reward:-50.000| Memory_length:4160| Duration:117.450| Actor_Loss:2.503| Critic_Loss:0.047| Success rate:0.200| 9.1/12.0 GB RAM 

Epoch:13| Running_reward:-43.556| EP_reward:-50.000| Memory_length:4480| Duration:121.385| Actor_Loss:3.204| Critic_Loss:0.099| Success rate:0.150| 9.1/12.0 GB RAM 

Epoch:14| Running_reward:-11.458| EP_reward:-50.000| Memory_length:4800| Duration:123.711| Actor_Loss:2.888| Critic_Loss:0.057| Success rate:0.250| 9.2/12.0 GB RAM 

Epoch:15| Running_reward:-14.143| EP_reward:-33.000| Memory_length:5120| Duration:121.642| Actor_Loss:2.937| Critic_Loss:0.063| Success rate:0.400| 9.2/12.0 GB RAM 

Epoch:16| Running_reward:-48.701| EP_reward:-20.000| Memory_length:5440| Duration:122.926| Actor_Loss:2.733| Critic_Loss:0.077| Success rate:0.400| 9.2/12.0 GB RAM 

Epoch:17| Running_reward:-47.189| EP_reward:-6.000| Memory_length:5760| Duration:121.560| Actor_Loss:2.781| Critic_Loss:0.102| Success rate:0.575| 9.1/12.0 GB RAM 

Epoch:18| Running_reward:-47.161| EP_reward:-15.000| Memory_length:6080| Duration:123.387| Actor_Loss:2.710| Critic_Loss:0.095| Success rate:0.800| 9.2/12.0 GB RAM 

