Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-50.0,0.0
6.0,-50.0,0.0
7.0,-50.0,0.0
8.0,-50.0,0.025
9.0,-50.0,0.05
10.0,-49.59,0.025
11.0,-49.632822741733605,0.1
12.0,-49.1044,0.1
13.0,-49.99,0.17500000000000002
14.0,-10.16333783450344,0.225
15.0,-48.45742170953466,0.25
16.0,-48.77911641822961,0.425
17.0,-12.696232120179994,0.35
18.0,-47.95518946843399,0.5
19.0,-48.48320930788127,0.4
20.0,-16.60920829013899,0.55
21.0,-44.52030277926161,0.6499999999999999
22.0,-11.74194599333837,0.775
23.0,-10.932064251334218,0.825
24.0,-29.364416547410862,0.95
25.0,-47.06469255763252,0.8
26.0,-14.483010226518397,0.875
27.0,-10.069448286036287,0.975
28.0,-7.153577167138588,0.975
29.0,-8.106584400037825,1.0
30.0,-9.000198175063542,0.95
31.0,-7.687866594628757,0.9
32.0,-8.97107252276759,0.975
33.0,-6.712563278806337,1.0
34.0,-12.969375213306325,0.95
35.0,-9.859527668373305,1.0
36.0,-7.4058373046337165,1.0
37.0,-9.816185495794594,1.0
38.0,-13.520403652517782,1.0
39.0,-7.943050507982256,0.975
40.0,-9.001049270873082,1.0
41.0,-12.89276066029934,1.0
42.0,-8.15556299348261,0.8
43.0,-8.179978543932943,1.0
44.0,-6.196174969441247,1.0
45.0,-9.884975066773205,1.0
46.0,-12.673362481219081,1.0
47.0,-6.123177265850488,1.0
48.0,-7.252346029161704,1.0
49.0,-8.087703795917431,0.975
50.0,-9.029897932370197,1.0
51.0,-9.026193837678948,0.975
52.0,-9.000611175252807,1.0
53.0,-9.817053788131068,1.0
54.0,-6.256388684180716,1.0
55.0,-13.470758975631691,1.0
56.0,-7.145694643403487,1.0
57.0,-6.5551981812396525,1.0
58.0,-15.483345209229764,0.95
59.0,-9.88654128902354,1.0
60.0,-8.116938005156682,1.0
61.0,-11.751287204784292,1.0
62.0,-9.115080128818494,1.0
63.0,-10.829875248996203,1.0
64.0,-6.162661771062597,1.0
65.0,-5.3563113379674645,1.0
66.0,-7.931968503751729,1.0
67.0,-9.789570291153543,1.0
68.0,-8.97213406936775,1.0
69.0,-11.595251129240523,1.0
70.0,-8.077140023579522,0.975
71.0,-6.202841117589439,1.0
72.0,-9.120716749943352,1.0
73.0,-9.920641718930925,1.0
74.0,-5.286553398000785,1.0
75.0,-9.048345992213369,1.0
76.0,-8.923385077650389,1.0
77.0,-10.913020423918429,1.0
78.0,-9.825313680443488,1.0
79.0,-10.767914850604074,1.0
80.0,-9.030544343025458,1.0
81.0,-6.135286085293889,1.0
82.0,-7.412427368230114,1.0
83.0,-9.877193453254879,1.0
84.0,-7.118973024435282,1.0
85.0,-10.847208294247922,1.0
86.0,-8.149316412648043,1.0
87.0,-8.972543694035867,0.975
88.0,-7.047082594997428,1.0
89.0,-7.1058810666641685,1.0
90.0,-8.021274219981178,1.0
91.0,-8.161287637433059,1.0
92.0,-5.272244244127219,1.0
93.0,-8.02922350634827,1.0
94.0,-9.029773583743781,1.0
95.0,-12.583720668668482,1.0
96.0,-6.2388430815953475,1.0
97.0,-6.347160424276918,1.0
98.0,-9.04016119068298,1.0
99.0,-11.6145599920008,1.0
