Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:107.184| Actor_Loss:0.625| Critic_Loss:0.003| Success rate:0.000| 8.3/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:106.088| Actor_Loss:0.824| Critic_Loss:0.011| Success rate:0.000| 8.4/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:105.988| Actor_Loss:1.153| Critic_Loss:0.006| Success rate:0.000| 8.5/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:106.999| Actor_Loss:1.457| Critic_Loss:0.013| Success rate:0.000| 8.6/12.0 GB RAM 

Epoch:4| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1600| Duration:107.286| Actor_Loss:1.689| Critic_Loss:0.012| Success rate:0.000| 8.1/12.0 GB RAM 

Epoch:5| Running_reward:-49.563| EP_reward:-50.000| Memory_length:1920| Duration:109.330| Actor_Loss:1.939| Critic_Loss:0.031| Success rate:0.025| 8.1/12.0 GB RAM 

Epoch:6| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2240| Duration:109.422| Actor_Loss:2.006| Critic_Loss:0.053| Success rate:0.000| 8.1/12.0 GB RAM 

Epoch:7| Running_reward:-49.576| EP_reward:-50.000| Memory_length:2560| Duration:109.394| Actor_Loss:2.252| Critic_Loss:0.020| Success rate:0.025| 8.2/12.0 GB RAM 

Epoch:8| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2880| Duration:109.767| Actor_Loss:1.944| Critic_Loss:0.030| Success rate:0.025| 8.2/12.0 GB RAM 

Epoch:9| Running_reward:-49.580| EP_reward:-8.000| Memory_length:3200| Duration:110.678| Actor_Loss:2.339| Critic_Loss:0.058| Success rate:0.025| 8.3/12.0 GB RAM 

Epoch:10| Running_reward:-49.590| EP_reward:-9.000| Memory_length:3520| Duration:113.846| Actor_Loss:2.389| Critic_Loss:0.200| Success rate:0.100| 8.3/12.0 GB RAM 

Epoch:11| Running_reward:-49.305| EP_reward:-50.000| Memory_length:3840| Duration:117.536| Actor_Loss:2.665| Critic_Loss:0.061| Success rate:0.050| 8.3/12.0 GB RAM 

Epoch:12| Running_reward:-49.620| EP_reward:-50.000| Memory_length:4160| Duration:119.503| Actor_Loss:2.466| Critic_Loss:0.044| Success rate:0.125| 8.3/12.0 GB RAM 

