Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:111.914| Actor_Loss:0.772| Critic_Loss:0.005| Success rate:0.000| 9.3/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:106.734| Actor_Loss:0.983| Critic_Loss:0.006| Success rate:0.000| 9.3/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:110.617| Actor_Loss:1.281| Critic_Loss:0.007| Success rate:0.000| 9.3/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:108.063| Actor_Loss:1.502| Critic_Loss:0.004| Success rate:0.000| 9.3/12.0 GB RAM 

Epoch:4| Running_reward:-49.971| EP_reward:-50.000| Memory_length:1600| Duration:109.149| Actor_Loss:1.854| Critic_Loss:0.009| Success rate:0.000| 9.3/12.0 GB RAM 

Epoch:5| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1920| Duration:108.657| Actor_Loss:1.993| Critic_Loss:0.017| Success rate:0.025| 9.1/12.0 GB RAM 

Epoch:6| Running_reward:-49.582| EP_reward:-50.000| Memory_length:2240| Duration:110.052| Actor_Loss:2.073| Critic_Loss:0.011| Success rate:0.050| 9.1/12.0 GB RAM 

Epoch:7| Running_reward:-49.574| EP_reward:-50.000| Memory_length:2560| Duration:110.643| Actor_Loss:2.207| Critic_Loss:0.025| Success rate:0.050| 9.2/12.0 GB RAM 

Epoch:8| Running_reward:-49.830| EP_reward:-33.000| Memory_length:2880| Duration:110.719| Actor_Loss:2.640| Critic_Loss:0.036| Success rate:0.050| 9.2/12.0 GB RAM 

Epoch:9| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3200| Duration:111.878| Actor_Loss:2.706| Critic_Loss:0.091| Success rate:0.050| 9.3/12.0 GB RAM 

Epoch:10| Running_reward:-49.579| EP_reward:-50.000| Memory_length:3520| Duration:115.333| Actor_Loss:2.404| Critic_Loss:0.051| Success rate:0.100| 9.3/12.0 GB RAM 

Epoch:11| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3840| Duration:114.726| Actor_Loss:3.118| Critic_Loss:0.085| Success rate:0.000| 9.0/12.0 GB RAM 

Epoch:12| Running_reward:-49.565| EP_reward:-50.000| Memory_length:4160| Duration:116.549| Actor_Loss:2.390| Critic_Loss:0.077| Success rate:0.125| 9.2/12.0 GB RAM 

Epoch:13| Running_reward:-50.000| EP_reward:-50.000| Memory_length:4480| Duration:119.066| Actor_Loss:2.793| Critic_Loss:0.046| Success rate:0.225| 8.2/12.0 GB RAM 

Epoch:14| Running_reward:-16.200| EP_reward:-50.000| Memory_length:4800| Duration:118.821| Actor_Loss:2.345| Critic_Loss:0.050| Success rate:0.200| 8.2/12.0 GB RAM 

Epoch:15| Running_reward:-49.401| EP_reward:-50.000| Memory_length:5120| Duration:122.806| Actor_Loss:2.868| Critic_Loss:0.056| Success rate:0.300| 8.3/12.0 GB RAM 

Epoch:16| Running_reward:-12.358| EP_reward:-50.000| Memory_length:5440| Duration:122.288| Actor_Loss:3.371| Critic_Loss:0.066| Success rate:0.400| 8.2/12.0 GB RAM 

Epoch:17| Running_reward:-16.874| EP_reward:-50.000| Memory_length:5760| Duration:120.791| Actor_Loss:3.058| Critic_Loss:0.182| Success rate:0.525| 8.2/12.0 GB RAM 

Epoch:18| Running_reward:-47.873| EP_reward:-18.000| Memory_length:6080| Duration:121.166| Actor_Loss:2.866| Critic_Loss:0.059| Success rate:0.325| 8.3/12.0 GB RAM 

Epoch:19| Running_reward:-7.808| EP_reward:-8.000| Memory_length:6400| Duration:121.428| Actor_Loss:3.000| Critic_Loss:0.546| Success rate:0.750| 8.3/12.0 GB RAM 

Epoch:20| Running_reward:-48.639| EP_reward:-50.000| Memory_length:6720| Duration:122.178| Actor_Loss:3.155| Critic_Loss:0.549| Success rate:0.625| 8.3/12.0 GB RAM 

Epoch:21| Running_reward:-9.041| EP_reward:-15.000| Memory_length:7040| Duration:121.966| Actor_Loss:2.700| Critic_Loss:0.088| Success rate:0.625| 8.3/12.0 GB RAM 

