Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-49.97147029850299,0.0
5.0,-50.0,0.025
6.0,-49.581564378044,0.05
7.0,-49.5743,0.05
8.0,-49.83,0.05
9.0,-50.0,0.05
10.0,-49.578557,0.1
11.0,-50.0,0.0
12.0,-49.564521751929036,0.125
13.0,-50.0,0.225
14.0,-16.199861843105285,0.2
15.0,-49.4010986783,0.3
16.0,-12.357784620511799,0.4
17.0,-16.874326085347125,0.525
18.0,-47.872805803627614,0.325
19.0,-7.808244237211369,0.75
20.0,-48.63947172825165,0.625
21.0,-9.040520400158503,0.625
22.0,-14.778920487095828,0.8
23.0,-8.722200015112834,0.8
24.0,-11.94387388781254,0.875
25.0,-8.190573222532594,0.975
26.0,-8.438250552977154,0.75
27.0,-11.877748791456794,1.0
28.0,-7.737461956714254,0.95
29.0,-8.0885031666407,1.0
30.0,-9.105200720155057,0.975
31.0,-10.019516350605494,1.0
32.0,-11.947545111990749,1.0
33.0,-7.209206115937581,0.975
34.0,-7.333033778359266,1.0
35.0,-23.72294367689202,0.975
36.0,-7.383070270270126,1.0
37.0,-15.052241461240676,0.975
38.0,-8.0608002336872,0.975
39.0,-7.086277920035287,0.975
40.0,-7.048709253077531,1.0
41.0,-9.807271556876689,1.0
42.0,-11.774523792572461,1.0
43.0,-6.2798470407281455,1.0
44.0,-7.37985847945813,1.0
45.0,-6.178925471249123,1.0
46.0,-5.220522477341125,1.0
47.0,-9.855187849252301,1.0
48.0,-10.789356948190703,1.0
49.0,-7.07647316597208,1.0
50.0,-9.915250367823619,1.0
51.0,-9.982037058099422,1.0
52.0,-12.714516031164592,1.0
53.0,-7.122775551183408,1.0
54.0,-5.298553092094395,1.0
55.0,-11.799705408054916,1.0
56.0,-7.269711370013179,1.0
57.0,-7.134002229653571,1.0
58.0,-9.880772664304546,1.0
59.0,-11.635408430396735,1.0
60.0,-10.815591427375688,1.0
61.0,-6.285867081194665,1.0
62.0,-8.097770713907378,1.0
63.0,-7.123073336520814,1.0
64.0,-7.290840472817378,1.0
65.0,-7.983190046179141,1.0
66.0,-8.98125496700944,1.0
67.0,-9.27913881461698,0.975
68.0,-6.269482057661104,1.0
69.0,-6.318264157948075,0.975
70.0,-11.846813145938938,1.0
71.0,-8.856343395466284,1.0
72.0,-10.187839556025533,0.925
73.0,-10.88650643206386,1.0
74.0,-7.1547967517213475,1.0
75.0,-7.210338532489925,1.0
76.0,-6.191250451631603,1.0
77.0,-6.238871656564555,0.975
78.0,-7.26339498932642,0.975
79.0,-8.07795790260841,1.0
80.0,-10.915279624705489,1.0
81.0,-7.961373171079108,1.0
82.0,-6.278502974514714,1.0
83.0,-9.038357483783146,1.0
84.0,-8.105291849747159,0.975
85.0,-6.476475184690819,1.0
86.0,-5.382413065165287,1.0
87.0,-9.710655537196281,1.0
88.0,-6.271848990843775,1.0
89.0,-6.221215477837134,1.0
90.0,-7.039790480108331,1.0
91.0,-10.029764127661217,1.0
92.0,-7.980013556445278,1.0
93.0,-8.981352752451759,1.0
94.0,-8.089999030097008,1.0
95.0,-10.828263976416512,1.0
96.0,-9.04210418172096,1.0
97.0,-11.60759201020323,1.0
98.0,-7.057489047164255,1.0
99.0,-11.15489285151009,0.975
