Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-50.0,0.0
6.0,-50.0,0.0
7.0,-50.0,0.0
8.0,-50.0,0.0
9.0,-49.58835799999999,0.07500000000000001
10.0,-49.59399233445172,0.05
11.0,-12.545792853170722,0.15000000000000002
12.0,-48.845598035900004,0.25
13.0,-29.752257584239537,0.35
14.0,-13.025106169665584,0.4
15.0,-45.87875000635046,0.45
16.0,-25.568642848150176,0.625
17.0,-13.754467925637833,0.375
18.0,-44.70093098593151,0.725
19.0,-13.716579068850647,0.65
20.0,-14.770868957387496,0.775
21.0,-16.09332695271046,0.8250000000000001
22.0,-6.805208932069274,0.8
23.0,-12.83528300648013,0.975
24.0,-11.80112854129741,0.8500000000000001
25.0,-47.140169140202175,0.775
26.0,-8.247168600993243,1.0
27.0,-10.304702967430599,1.0
28.0,-7.23300010213464,1.0
29.0,-31.795848245603235,1.0
30.0,-9.121085160076255,1.0
31.0,-6.324687804363864,1.0
32.0,-16.51571479875475,1.0
33.0,-12.750385766630528,1.0
34.0,-13.862477047171044,0.925
35.0,-12.013189651349249,0.95
36.0,-12.725224682202155,0.975
37.0,-13.615869866408696,0.95
38.0,-10.341895266719098,0.975
39.0,-9.8738181495598,0.975
40.0,-6.212167408584066,0.975
41.0,-8.076131655228727,1.0
42.0,-8.085160101881907,1.0
43.0,-7.402020336164422,1.0
44.0,-11.857992120186248,1.0
45.0,-8.074476806232257,1.0
46.0,-9.03006734125139,0.975
47.0,-10.770252577394244,1.0
48.0,-8.880362185590016,1.0
49.0,-9.788689140377354,1.0
50.0,-10.827404284252882,1.0
51.0,-8.066664003278685,0.975
52.0,-6.249130075443657,1.0
53.0,-8.931185129401001,1.0
54.0,-7.982633157386629,1.0
55.0,-10.878459840565862,1.0
56.0,-8.981348674537788,1.0
57.0,-10.86633743566329,1.0
58.0,-9.011905123207022,0.95
59.0,-5.267889477369465,1.0
60.0,-7.151925259039096,0.975
61.0,-8.158290619693503,1.0
62.0,-11.801403661927571,1.0
63.0,-12.617759015628563,1.0
64.0,-11.67300425043909,1.0
65.0,-6.306067324955366,1.0
66.0,-11.806098053035829,1.0
67.0,-10.684521232875836,1.0
68.0,-8.9718236779801,1.0
69.0,-8.142777239487975,1.0
70.0,-5.276088314851544,0.975
71.0,-4.413871378192854,1.0
72.0,-10.056406337276576,1.0
73.0,-6.191423241205334,1.0
74.0,-8.826804528614504,1.0
75.0,-5.228278046872888,1.0
76.0,-8.905630909599193,1.0
77.0,-6.170145219323264,1.0
78.0,-9.865957354280221,1.0
79.0,-7.116861001119359,0.975
80.0,-4.529279968061827,1.0
81.0,-8.076473823397508,1.0
82.0,-10.817233407634491,1.0
83.0,-5.250495500395309,1.0
84.0,-6.381345278041985,1.0
85.0,-11.702305445106642,1.0
86.0,-11.617282286633062,1.0
87.0,-12.57749486405553,1.0
88.0,-7.07684960199104,1.0
89.0,-8.156908744841282,1.0
90.0,-11.71454444476943,1.0
91.0,-14.39631336863836,1.0
92.0,-5.298569804485405,1.0
93.0,-9.779492853961335,1.0
94.0,-7.298640283140278,1.0
95.0,-7.154206437071617,1.0
96.0,-10.795895210548851,1.0
97.0,-8.93867545748049,0.975
98.0,-4.424106331888322,1.0
99.0,-8.007171194199879,1.0
