Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:108.142| Actor_Loss:0.614| Critic_Loss:0.007| Success rate:0.000| 10.3/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:105.126| Actor_Loss:0.830| Critic_Loss:0.005| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:106.374| Actor_Loss:1.162| Critic_Loss:0.008| Success rate:0.000| 9.6/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:106.119| Actor_Loss:1.359| Critic_Loss:0.007| Success rate:0.000| 9.6/12.0 GB RAM 

Epoch:4| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1600| Duration:106.766| Actor_Loss:1.807| Critic_Loss:0.010| Success rate:0.000| 9.7/12.0 GB RAM 

Epoch:5| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1920| Duration:108.574| Actor_Loss:1.662| Critic_Loss:0.022| Success rate:0.000| 9.5/12.0 GB RAM 

Epoch:6| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2240| Duration:108.848| Actor_Loss:2.104| Critic_Loss:0.045| Success rate:0.000| 9.6/12.0 GB RAM 

Epoch:7| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2560| Duration:109.180| Actor_Loss:2.228| Critic_Loss:0.043| Success rate:0.000| 9.1/12.0 GB RAM 

Epoch:8| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2880| Duration:109.376| Actor_Loss:2.386| Critic_Loss:0.025| Success rate:0.000| 9.2/12.0 GB RAM 

Epoch:9| Running_reward:-49.588| EP_reward:-50.000| Memory_length:3200| Duration:110.404| Actor_Loss:1.924| Critic_Loss:0.074| Success rate:0.075| 9.2/12.0 GB RAM 

Epoch:10| Running_reward:-49.594| EP_reward:-50.000| Memory_length:3520| Duration:112.810| Actor_Loss:2.895| Critic_Loss:0.089| Success rate:0.050| 9.3/12.0 GB RAM 

Epoch:11| Running_reward:-12.546| EP_reward:-50.000| Memory_length:3840| Duration:115.222| Actor_Loss:2.374| Critic_Loss:0.033| Success rate:0.150| 9.3/12.0 GB RAM 

Epoch:12| Running_reward:-48.846| EP_reward:-50.000| Memory_length:4160| Duration:117.089| Actor_Loss:2.721| Critic_Loss:0.090| Success rate:0.250| 9.3/12.0 GB RAM 

Epoch:13| Running_reward:-29.752| EP_reward:-12.000| Memory_length:4480| Duration:119.129| Actor_Loss:2.133| Critic_Loss:0.047| Success rate:0.350| 9.4/12.0 GB RAM 

Epoch:14| Running_reward:-13.025| EP_reward:-50.000| Memory_length:4800| Duration:120.804| Actor_Loss:2.806| Critic_Loss:0.106| Success rate:0.400| 9.5/12.0 GB RAM 

Epoch:15| Running_reward:-45.879| EP_reward:-32.000| Memory_length:5120| Duration:119.129| Actor_Loss:2.761| Critic_Loss:0.064| Success rate:0.450| 9.4/12.0 GB RAM 

