Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:108.765| Actor_Loss:0.749| Critic_Loss:0.004| Success rate:0.000| 8.4/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:108.512| Actor_Loss:0.920| Critic_Loss:0.006| Success rate:0.000| 8.6/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:108.578| Actor_Loss:1.202| Critic_Loss:0.008| Success rate:0.000| 8.6/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:108.869| Actor_Loss:1.605| Critic_Loss:0.008| Success rate:0.000| 8.7/12.0 GB RAM 

Epoch:4| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1600| Duration:109.244| Actor_Loss:1.843| Critic_Loss:0.074| Success rate:0.000| 8.2/12.0 GB RAM 

Epoch:5| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1920| Duration:110.869| Actor_Loss:1.910| Critic_Loss:0.016| Success rate:0.000| 8.3/12.0 GB RAM 

Epoch:6| Running_reward:-49.599| EP_reward:-50.000| Memory_length:2240| Duration:110.897| Actor_Loss:2.349| Critic_Loss:0.013| Success rate:0.025| 8.3/12.0 GB RAM 

Epoch:7| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2560| Duration:110.245| Actor_Loss:1.814| Critic_Loss:0.026| Success rate:0.000| 8.3/12.0 GB RAM 

Epoch:8| Running_reward:-49.560| EP_reward:-6.000| Memory_length:2880| Duration:113.931| Actor_Loss:2.487| Critic_Loss:0.069| Success rate:0.025| 8.5/12.0 GB RAM 

Epoch:9| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3200| Duration:114.131| Actor_Loss:2.173| Critic_Loss:0.041| Success rate:0.025| 8.6/12.0 GB RAM 

Epoch:10| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3520| Duration:113.427| Actor_Loss:2.364| Critic_Loss:0.074| Success rate:0.075| 8.6/12.0 GB RAM 

Epoch:11| Running_reward:-49.609| EP_reward:-50.000| Memory_length:3840| Duration:117.345| Actor_Loss:2.986| Critic_Loss:0.053| Success rate:0.200| 8.6/12.0 GB RAM 

Epoch:12| Running_reward:-48.844| EP_reward:-18.000| Memory_length:4160| Duration:118.938| Actor_Loss:2.845| Critic_Loss:0.042| Success rate:0.225| 8.5/12.0 GB RAM 

Epoch:13| Running_reward:-13.869| EP_reward:-13.000| Memory_length:4480| Duration:123.342| Actor_Loss:2.632| Critic_Loss:0.072| Success rate:0.350| 8.6/12.0 GB RAM 

Epoch:14| Running_reward:-48.652| EP_reward:-37.000| Memory_length:4800| Duration:123.431| Actor_Loss:3.236| Critic_Loss:0.097| Success rate:0.350| 8.7/12.0 GB RAM 

Epoch:15| Running_reward:-10.068| EP_reward:-50.000| Memory_length:5120| Duration:122.635| Actor_Loss:2.913| Critic_Loss:0.088| Success rate:0.325| 8.7/12.0 GB RAM 

Epoch:16| Running_reward:-47.434| EP_reward:-13.000| Memory_length:5440| Duration:123.100| Actor_Loss:3.092| Critic_Loss:0.101| Success rate:0.600| 8.8/12.0 GB RAM 

Epoch:17| Running_reward:-48.163| EP_reward:-11.000| Memory_length:5760| Duration:121.825| Actor_Loss:3.175| Critic_Loss:0.098| Success rate:0.575| 8.8/12.0 GB RAM 

Epoch:18| Running_reward:-24.824| EP_reward:-7.000| Memory_length:6080| Duration:121.992| Actor_Loss:3.475| Critic_Loss:0.104| Success rate:0.550| 8.8/12.0 GB RAM 

Epoch:19| Running_reward:-9.208| EP_reward:-7.000| Memory_length:6400| Duration:121.689| Actor_Loss:3.269| Critic_Loss:0.174| Success rate:0.675| 8.8/12.0 GB RAM 

Epoch:20| Running_reward:-8.850| EP_reward:-14.000| Memory_length:6720| Duration:121.443| Actor_Loss:3.549| Critic_Loss:0.181| Success rate:0.775| 8.9/12.0 GB RAM 

