Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-50.0,0.0
6.0,-49.59921190039999,0.025
7.0,-50.0,0.0
8.0,-49.56,0.025
9.0,-50.0,0.025
10.0,-50.0,0.07500000000000001
11.0,-49.60853255387905,0.2
12.0,-48.844335808044,0.225
13.0,-13.868773531521644,0.35
14.0,-48.652375390239996,0.35
15.0,-10.068433795046356,0.325
16.0,-47.434288102032575,0.6
17.0,-48.16334791542854,0.5750000000000001
18.0,-24.824242247262543,0.55
19.0,-9.207565924315297,0.675
20.0,-8.850313714594552,0.775
21.0,-13.95606535957656,0.7250000000000001
22.0,-17.408357217346303,0.8500000000000001
23.0,-10.976027547238285,0.875
24.0,-9.177363893097505,1.0
25.0,-14.309281649495599,0.8500000000000001
26.0,-7.24366964039708,0.975
27.0,-11.80951473230379,0.975
28.0,-15.401700621535683,1.0
29.0,-9.943286039617629,1.0
30.0,-7.2759080308721105,1.0
31.0,-7.308371619037675,1.0
32.0,-9.827333515255413,0.975
33.0,-13.275886519330072,0.975
34.0,-9.99813975961095,1.0
35.0,-9.01436295413723,0.975
36.0,-7.211209919024647,1.0
37.0,-8.096652464078069,1.0
38.0,-18.09749297893702,0.975
39.0,-7.972110877463281,1.0
40.0,-9.091647932698416,1.0
41.0,-10.798904507451955,1.0
42.0,-10.013590201040783,1.0
43.0,-8.073297744067018,1.0
44.0,-15.458308302387865,1.0
45.0,-8.136126282962698,1.0
46.0,-11.719714271304609,1.0
47.0,-7.058304381888431,1.0
48.0,-9.866358176672163,1.0
49.0,-7.171486277022739,1.0
50.0,-8.953969510319002,1.0
51.0,-9.844148075039328,1.0
52.0,-12.681699918548503,1.0
53.0,-9.018866539728926,1.0
54.0,-9.843070983947358,1.0
55.0,-8.179587114800807,1.0
56.0,-5.365462327907715,1.0
57.0,-9.09385684673406,1.0
58.0,-5.347082968752987,1.0
59.0,-12.664272890929569,1.0
60.0,-9.864993417280651,0.975
61.0,-9.903587842602613,1.0
62.0,-7.232674022572007,1.0
63.0,-6.577485285254648,0.975
64.0,-8.067052228832328,1.0
65.0,-4.316230000561445,1.0
66.0,-10.008379347990358,1.0
67.0,-7.209004661334262,0.975
68.0,-9.162197823856145,1.0
69.0,-10.34056739087657,0.975
70.0,-8.93302233481444,1.0
71.0,-5.460475372311674,1.0
72.0,-8.981644921248847,0.95
73.0,-8.152768503651618,1.0
74.0,-10.760436176304642,1.0
75.0,-9.09296473331533,1.0
76.0,-7.048244443491979,1.0
77.0,-10.858465956709601,0.975
78.0,-7.259641327735214,1.0
79.0,-8.979228641712782,1.0
80.0,-4.298432075049617,1.0
81.0,-9.320474233077293,0.975
82.0,-7.1995291130843295,0.975
83.0,-9.03965324402638,1.0
84.0,-5.4298614131867735,1.0
85.0,-10.900231200123347,1.0
86.0,-9.960482727116442,1.0
87.0,-5.366270597849527,1.0
88.0,-7.144098941193013,1.0
89.0,-7.992793280636824,1.0
90.0,-7.9037251557312125,1.0
91.0,-5.317784684487445,1.0
92.0,-6.239013567224188,0.975
93.0,-8.161068911323323,1.0
94.0,-7.065802406779567,1.0
95.0,-7.3004009334521855,0.975
96.0,-11.67331787412212,1.0
97.0,-8.02978163106869,1.0
98.0,-11.578925678079376,1.0
99.0,-12.632614238863901,1.0
