Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:107.244| Actor_Loss:0.772| Critic_Loss:0.004| Success rate:0.000| 9.7/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:106.021| Actor_Loss:0.942| Critic_Loss:0.007| Success rate:0.000| 9.7/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:105.569| Actor_Loss:1.235| Critic_Loss:0.016| Success rate:0.000| 9.7/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:105.903| Actor_Loss:1.338| Critic_Loss:0.019| Success rate:0.000| 9.7/12.0 GB RAM 

Epoch:4| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1600| Duration:106.367| Actor_Loss:1.595| Critic_Loss:0.006| Success rate:0.000| 9.7/12.0 GB RAM 

Epoch:5| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1920| Duration:107.693| Actor_Loss:1.888| Critic_Loss:0.009| Success rate:0.000| 9.6/12.0 GB RAM 

Epoch:6| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2240| Duration:108.990| Actor_Loss:2.220| Critic_Loss:0.020| Success rate:0.025| 9.6/12.0 GB RAM 

Epoch:7| Running_reward:-49.981| EP_reward:-50.000| Memory_length:2560| Duration:108.768| Actor_Loss:1.930| Critic_Loss:0.033| Success rate:0.000| 9.6/12.0 GB RAM 

Epoch:8| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2880| Duration:113.597| Actor_Loss:2.563| Critic_Loss:0.066| Success rate:0.000| 9.6/12.0 GB RAM 

Epoch:9| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3200| Duration:112.310| Actor_Loss:2.180| Critic_Loss:0.049| Success rate:0.075| 9.7/12.0 GB RAM 

Epoch:10| Running_reward:-48.831| EP_reward:-50.000| Memory_length:3520| Duration:118.106| Actor_Loss:2.238| Critic_Loss:0.050| Success rate:0.100| 10.0/12.0 GB RAM 

Epoch:11| Running_reward:-49.902| EP_reward:-50.000| Memory_length:3840| Duration:126.221| Actor_Loss:2.682| Critic_Loss:0.090| Success rate:0.125| 10.3/12.0 GB RAM 

Epoch:12| Running_reward:-49.229| EP_reward:-50.000| Memory_length:4160| Duration:135.100| Actor_Loss:2.938| Critic_Loss:0.061| Success rate:0.150| 10.3/12.0 GB RAM 

Epoch:13| Running_reward:-48.591| EP_reward:-50.000| Memory_length:4480| Duration:130.413| Actor_Loss:2.622| Critic_Loss:0.145| Success rate:0.225| 10.3/12.0 GB RAM 

Epoch:14| Running_reward:-8.771| EP_reward:-9.000| Memory_length:4800| Duration:133.385| Actor_Loss:3.203| Critic_Loss:0.119| Success rate:0.450| 10.4/12.0 GB RAM 

Epoch:15| Running_reward:-7.418| EP_reward:-12.000| Memory_length:5120| Duration:130.842| Actor_Loss:2.808| Critic_Loss:0.196| Success rate:0.525| 9.7/12.0 GB RAM 

Epoch:16| Running_reward:-13.180| EP_reward:-50.000| Memory_length:5440| Duration:129.415| Actor_Loss:3.130| Critic_Loss:0.061| Success rate:0.350| 9.7/12.0 GB RAM 

Epoch:17| Running_reward:-20.721| EP_reward:-14.000| Memory_length:5760| Duration:133.180| Actor_Loss:2.947| Critic_Loss:0.134| Success rate:0.825| 9.2/12.0 GB RAM 

Epoch:18| Running_reward:-14.699| EP_reward:-12.000| Memory_length:6080| Duration:132.250| Actor_Loss:3.252| Critic_Loss:0.240| Success rate:0.850| 9.3/12.0 GB RAM 

Epoch:19| Running_reward:-16.079| EP_reward:-9.000| Memory_length:6400| Duration:131.168| Actor_Loss:3.041| Critic_Loss:0.261| Success rate:0.850| 9.4/12.0 GB RAM 

Epoch:20| Running_reward:-10.809| EP_reward:-50.000| Memory_length:6720| Duration:132.143| Actor_Loss:3.154| Critic_Loss:0.078| Success rate:0.750| 9.4/12.0 GB RAM 

Epoch:21| Running_reward:-13.131| EP_reward:-9.000| Memory_length:7040| Duration:132.267| Actor_Loss:3.341| Critic_Loss:0.508| Success rate:0.900| 9.4/12.0 GB RAM 

Epoch:22| Running_reward:-10.181| EP_reward:-13.000| Memory_length:7360| Duration:135.132| Actor_Loss:3.033| Critic_Loss:0.118| Success rate:0.900| 9.5/12.0 GB RAM 

Epoch:23| Running_reward:-6.280| EP_reward:-9.000| Memory_length:7680| Duration:138.882| Actor_Loss:3.440| Critic_Loss:0.394| Success rate:0.975| 9.8/12.0 GB RAM 

Epoch:24| Running_reward:-14.032| EP_reward:-14.000| Memory_length:8000| Duration:143.062| Actor_Loss:2.786| Critic_Loss:0.108| Success rate:0.925| 9.7/12.0 GB RAM 

Epoch:25| Running_reward:-7.737| EP_reward:-50.000| Memory_length:8320| Duration:140.197| Actor_Loss:3.038| Critic_Loss:0.281| Success rate:0.950| 9.8/12.0 GB RAM 

Epoch:26| Running_reward:-9.078| EP_reward:-9.000| Memory_length:8640| Duration:140.481| Actor_Loss:3.068| Critic_Loss:0.208| Success rate:0.950| 10.0/12.0 GB RAM 

