Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-50.0,0.0
6.0,-50.0,0.025
7.0,-49.98098019900199,0.0
8.0,-50.0,0.0
9.0,-50.0,0.07500000000000001
10.0,-48.83126786398084,0.1
11.0,-49.90199,0.125
12.0,-49.22944538,0.15000000000000002
13.0,-48.591142670705764,0.22500000000000003
14.0,-8.77066385245341,0.44999999999999996
15.0,-7.418405228413848,0.525
16.0,-13.180457036915453,0.35
17.0,-20.721247631836363,0.8250000000000001
18.0,-14.698580502635242,0.8500000000000001
19.0,-16.079239423185314,0.85
20.0,-10.809143246961154,0.75
21.0,-13.13114373514547,0.9
22.0,-10.181346602773194,0.9
23.0,-6.280100120576035,0.975
24.0,-14.032169796157199,0.925
25.0,-7.736530841370315,0.95
26.0,-9.078373494039743,0.95
27.0,-10.91907463185595,0.975
28.0,-8.387947442285006,0.95
29.0,-4.462289387287973,1.0
30.0,-13.470524983119322,1.0
31.0,-46.462894004417265,0.975
32.0,-6.5210932357475535,0.975
33.0,-15.422580799182217,0.975
34.0,-6.742278753779445,0.975
35.0,-9.837993207125002,0.925
36.0,-8.989685767797573,1.0
37.0,-10.715401480300697,1.0
38.0,-9.858373710286633,1.0
39.0,-12.680966121881182,1.0
40.0,-10.732563570124073,1.0
41.0,-8.884381086766252,0.975
42.0,-6.44145816255407,0.975
43.0,-7.161801910603798,1.0
44.0,-7.970561114227381,1.0
45.0,-5.493564328608636,0.975
46.0,-12.738992587039315,0.975
47.0,-10.924480115189091,1.0
48.0,-8.878612107418933,0.95
49.0,-8.202719806788899,1.0
50.0,-15.49732747584861,0.925
51.0,-8.979418800998,0.95
52.0,-7.981848810577571,1.0
53.0,-7.10771130286766,1.0
54.0,-10.825287624004572,1.0
55.0,-9.02039977426022,1.0
56.0,-13.492521321288935,1.0
57.0,-8.03521943136789,1.0
58.0,-7.966333359313638,1.0
59.0,-10.692580136463445,0.975
60.0,-9.412946648164592,0.975
61.0,-9.10473294948641,0.975
62.0,-4.287148142569854,1.0
63.0,-8.911758722053797,1.0
64.0,-6.228110875401842,1.0
65.0,-8.575763851758062,0.95
66.0,-8.095560895053078,0.975
67.0,-9.874187115278223,1.0
68.0,-11.682604268868861,0.975
69.0,-9.073379335243612,1.0
70.0,-9.80712839931459,1.0
71.0,-7.1540318264831075,1.0
72.0,-10.690871227043774,1.0
73.0,-7.93468651834597,1.0
74.0,-9.383578958859374,0.975
75.0,-8.89535805268576,1.0
76.0,-9.038358775182564,1.0
77.0,-8.064845566407907,1.0
78.0,-6.257486182905778,1.0
79.0,-5.327681908465897,0.975
80.0,-9.948752978095664,1.0
81.0,-10.814433548880187,0.95
82.0,-6.334511183479344,1.0
83.0,-11.007413783170298,1.0
84.0,-7.109536806474231,1.0
85.0,-11.688680615585806,1.0
86.0,-13.531087684687982,1.0
87.0,-8.935460519638825,1.0
88.0,-8.94156955246662,1.0
89.0,-6.362980855438232,1.0
90.0,-7.9818429700617886,0.975
91.0,-7.935369764685718,1.0
92.0,-8.028932387928416,1.0
93.0,-6.164428824916817,1.0
94.0,-8.96128797981977,1.0
95.0,-10.722222863536981,1.0
96.0,-4.375421716697688,1.0
97.0,-10.710933264131453,1.0
98.0,-8.077560767439907,1.0
99.0,-5.381936230507223,1.0
