Start Main 

Epoch:33| Running_reward:-6.085| EP_reward:-5.000| Memory_length:10880| Duration:130.547| Actor_Loss:3.269| Critic_Loss:0.225| Success rate:1.000| 10.2/12.0 GB RAM 

Epoch:34| Running_reward:-7.201| EP_reward:-10.000| Memory_length:11200| Duration:132.032| Actor_Loss:3.184| Critic_Loss:0.546| Success rate:1.000| 10.2/12.0 GB RAM 

Epoch:35| Running_reward:-9.253| EP_reward:-8.000| Memory_length:11520| Duration:130.200| Actor_Loss:3.267| Critic_Loss:0.224| Success rate:0.975| 10.3/12.0 GB RAM 

Epoch:36| Running_reward:-10.845| EP_reward:-7.000| Memory_length:11840| Duration:134.043| Actor_Loss:3.379| Critic_Loss:0.165| Success rate:1.000| 10.5/12.0 GB RAM 

Epoch:37| Running_reward:-8.683| EP_reward:-50.000| Memory_length:12160| Duration:132.670| Actor_Loss:2.774| Critic_Loss:0.242| Success rate:0.975| 10.4/12.0 GB RAM 

Epoch:38| Running_reward:-5.259| EP_reward:-7.000| Memory_length:12480| Duration:129.692| Actor_Loss:3.083| Critic_Loss:0.310| Success rate:1.000| 10.5/12.0 GB RAM 

Epoch:39| Running_reward:-6.148| EP_reward:-6.000| Memory_length:12800| Duration:131.790| Actor_Loss:3.202| Critic_Loss:0.152| Success rate:1.000| 10.5/12.0 GB RAM 

Epoch:40| Running_reward:-10.247| EP_reward:-10.000| Memory_length:13120| Duration:133.594| Actor_Loss:3.367| Critic_Loss:1.054| Success rate:1.000| 10.9/12.0 GB RAM 

Epoch:41| Running_reward:-9.834| EP_reward:-6.000| Memory_length:13440| Duration:130.689| Actor_Loss:2.623| Critic_Loss:0.189| Success rate:1.000| 10.6/12.0 GB RAM 

Epoch:42| Running_reward:-14.463| EP_reward:-10.000| Memory_length:13760| Duration:131.049| Actor_Loss:2.950| Critic_Loss:0.136| Success rate:1.000| 10.7/12.0 GB RAM 

Epoch:43| Running_reward:-8.970| EP_reward:-8.000| Memory_length:14080| Duration:139.262| Actor_Loss:3.197| Critic_Loss:0.392| Success rate:1.000| 10.8/12.0 GB RAM 

Epoch:44| Running_reward:-6.210| EP_reward:-8.000| Memory_length:14400| Duration:137.372| Actor_Loss:2.863| Critic_Loss:0.224| Success rate:1.000| 10.8/12.0 GB RAM 

