Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-50.0,0.0
6.0,-50.0,0.0
7.0,-49.568756,0.05
8.0,-50.0,0.05
9.0,-49.5869437157,0.07500000000000001
10.0,-50.0,0.15000000000000002
11.0,-49.4878847716138,0.15000000000000002
12.0,-50.0,0.07500000000000001
13.0,-49.289895409541,0.25
14.0,-49.13741616216743,0.17500000000000002
15.0,-49.07741401359533,0.5
16.0,-10.244456328450912,0.325
17.0,-23.18600229866722,0.425
18.0,-9.9525774606694,0.55
19.0,-7.297475112596539,0.7
20.0,-44.90415722891963,0.875
21.0,-16.34611980359988,0.5249999999999999
22.0,-12.185510492913645,0.6
23.0,-12.95444397701912,0.975
24.0,-7.295281835540052,1.0
25.0,-10.031354574246738,0.95
26.0,-45.79691803870613,0.9
27.0,-9.02813288635368,0.95
28.0,-6.37439542306152,0.975
29.0,-6.200334407630256,1.0
30.0,-12.701748291859419,1.0
31.0,-6.297891671537087,1.0
32.0,-8.231499058811787,0.975
33.0,-6.085141380771045,1.0
34.0,-7.201496109007796,1.0
35.0,-9.252914261499537,0.975
36.0,-10.844733215707638,1.0
37.0,-8.68319985876008,0.975
38.0,-5.258873684792356,1.0
39.0,-6.1479933453397795,1.0
40.0,-10.246955402908952,1.0
41.0,-9.833864710290598,1.0
42.0,-14.463412371387937,1.0
43.0,-8.970006871879148,1.0
44.0,-6.209965529640636,1.0
45.0,-9.921385110086138,1.0
46.0,-9.03154593075284,1.0
47.0,-6.168599099986138,1.0
48.0,-9.902548634241779,1.0
49.0,-8.120483877984833,1.0
50.0,-9.91642759407227,1.0
51.0,-4.404569240281834,1.0
52.0,-8.114617376182567,1.0
53.0,-11.712578097459401,1.0
54.0,-25.37594636733454,0.975
55.0,-9.952901838854297,1.0
56.0,-9.000722878922975,1.0
57.0,-9.014076443971435,1.0
58.0,-12.605800441091743,1.0
59.0,-8.98932096683683,1.0
60.0,-7.236263365162207,1.0
61.0,-5.280121547031257,1.0
62.0,-8.029975622452758,1.0
63.0,-8.098760891744861,1.0
64.0,-11.77626227380595,1.0
65.0,-10.732513855900233,1.0
66.0,-7.113584512766594,1.0
67.0,-9.00470336570449,1.0
68.0,-4.522008713781717,1.0
69.0,-6.131519547616393,1.0
70.0,-9.543667337454641,0.95
71.0,-6.210029894985238,1.0
72.0,-10.002409437267788,1.0
73.0,-8.122890911199805,1.0
74.0,-7.0858908487660095,1.0
75.0,-8.0481411228856,1.0
76.0,-10.691332971838062,1.0
77.0,-9.076659393882057,1.0
78.0,-10.769018358046349,1.0
79.0,-11.595154216662444,1.0
80.0,-9.053938860097192,1.0
81.0,-5.231022271690473,1.0
82.0,-9.116315580957135,1.0
83.0,-8.02152547282938,1.0
84.0,-8.03891575415626,1.0
85.0,-7.048922468421438,1.0
86.0,-8.02288243022496,1.0
87.0,-9.944601985881299,1.0
88.0,-8.079193490203371,1.0
89.0,-9.941760458484179,1.0
90.0,-8.8444927034947,1.0
91.0,-8.170239492998776,1.0
92.0,-8.310393590674497,0.975
93.0,-11.683478959144514,1.0
94.0,-10.06598173477866,1.0
95.0,-4.412432346561853,1.0
96.0,-8.028799354936819,1.0
97.0,-5.251791265539668,1.0
98.0,-8.982685166263293,1.0
99.0,-8.094054788612171,1.0
